t,wm_ref,wm,Te,Tl,f_Sa,f_Sb,f_Sc,Vs_a,Vs_b,Is_a,Is_b,Psis_a,Psis_b,Psir_a,Psir_b
0,0,0,0,0,0,0,0,1.39237371444277e-13,0,0,0,0,0,0,0
0.0350175087543772,0.0183351247082946,0,0,0,0,0,0,1.39237371444277e-13,0,3.37626886986033e-13,0,2.82743919391094e-15,0,1.3333116808428e-15,0
0.0700350175087544,0.0366702494165892,0.0372682745402812,-2.27222758010426,5.0004722336547e-05,0,0,0,1.39237371444277e-13,0,-8.68016809109561,14.270295084993,-0.181491629498448,0.211116926134662,-0.143078581062828,0.147965437530109
0.105052526263132,0.0550053741248838,0.045510148598351,3.18749432210316,7.48708044503707e-05,0,0,0,1.39237371444277e-13,0,-11.5983633259047,5.65049686343401,-0.225256873118352,0.20134463008347,-0.173929699780668,0.176339030258385
0.140070035017509,0.0733404988331784,0.0553402705946688,2.44431087323722,0.000110254725340989,431.223632909466,0,0,1.39237371444277e-13,0,-9.96446271524286,5.52967883773872,-0.232069617306313,0.210552261144655,-0.187973076214188,0.186081327079982
0.175087543771886,0.0916756235414731,0.0969915877765412,-0.0566835001868881,0.000338665301470888,0,0,0,1.39237371444277e-13,0,-1.6498862346553,1.65034869669746,-0.199224334759804,0.187827865509535,-0.191922960042177,0.180524444221308
0.210105052526263,0.110010748249768,0.0886077865428154,-0.127260416678141,0.000282648465576991,0,0,0,1.39237371444277e-13,0,-1.25867039753618,1.40175698162407,-0.187652128628278,0.175282228282395,-0.182082032929943,0.169078919974883
0.24512256128064,0.128345872958062,0.135119417295601,-2.47531781010962,0.000657398009399835,0,0,0,1.39237371444277e-13,0,-4.09598017098364,7.80156510159242,-0.212843641581044,0.203961366049793,-0.194717369941127,0.169436470336248
0.280140070035018,0.146680997666357,0.139021784657092,3.26296771120227,0.000695937900798357,0,0,0,1.39237371444277e-13,0,-11.2122676529129,4.42444929623759,-0.266175314759833,0.202038172998686,-0.216556761765876,0.182458300427824
0.315157578789395,0.165016122374651,0.165454515178872,1.1268170442571,0.000985543738956772,0,0,0,1.39237371444277e-13,0,-7.1429712642551,4.12742409271367,-0.268437293750534,0.207691218195902,-0.236826926500901,0.189425795231294
0.350175087543772,0.183351247082946,0.169316834397038,-0.295012557609298,0.00103205675839912,0,0,0,1.39237371444277e-13,0,-1.73344953070908,1.75203322059559,-0.241520650431227,0.187380201263652,-0.233849476315124,0.179626787244793
