t,f_01,f_02,f_05,f_1,f_2,f_5
0,0,0,0,0,0,0
0.000601202404809619,0,0,0,0,0,0
0.00120240480961924,0,0,0,0,0,0
0.00180360721442886,0,0,0,0,0,0
0.00240480961923848,0,0,0,0,0,0
0.0030060120240481,54.4866838538679,53.8676454488728,53.3926796866312,46.7465852172332,47.5608095017077,0
0.00360721442885772,1341.42696213366,666.574540208639,261.182786166243,120.05146077138,84.5001688683632,73.1812207359586
0.00420841683366734,2094.15440259771,1128.00662364213,480.716065064752,323.239364462446,158.370121924584,115.155139629186
0.00480961923847695,1894.8945393071,1020.7149318177,435.073810460945,292.515595303615,143.398332519634,148.416057261706
0.00541082164328657,1737.44158023269,928.141208819484,395.680962722803,265.997148210499,130.467277877838,135.085265961825
0.00601202404809619,1954.48553454143,1043.7810360829,430.2582927366,267.638618028071,138.979104751115,123.45393536166
0.00661322645290581,3479.45532548372,1746.69913976821,713.55980892031,358.249201171742,178.711137719362,113.220814899473
0.00721442885771543,5193.57527216978,2624.32781399156,1054.90099747937,566.279408638986,262.797073220226,149.105079963903
0.00781563126252505,7832.46845317835,3954.29632043769,1602.74266321188,827.606211656119,410.681402992993,199.877415959579
0.00841683366733467,9902.09666875906,4973.6175387795,2009.22091877902,1036.6381621445,514.276156632172,256.554257308367
0.00901803607214429,11705.2098774841,5879.7843786428,2359.70816002128,1196.09926151633,601.642170621675,305.541893754911
0.00961923847695391,12676.7158408872,6359.79943107131,2580.90369159327,1294.96429953249,651.062767250915,354.769684650052
0.0102204408817635,12804.7733792311,6402.5571563341,2663.83731211317,1337.44075829384,664.411027568923,396.774193548387
0.0108216432865731,12804.7733792314,6409.15298177103,2663.83731211318,1337.44075829384,664.411027568922,396.774193548387
0.0114228456913828,12862.6457698706,6460.65828018663,2694.453378668,1343.48987051238,664.691176835621,396.774193548387
0.0120240480961924,14288.264356434,7141.99008127256,2910.26499941725,1469.21586053921,723.790981911967,396.774193548387
0.012625250501002,16247.4506316376,8108.131623236,3326.93620955276,1648.52553000348,818.684369769984,409.383891335088
0.0132264529058116,18332.4534226387,9166.91311717389,3741.45776174984,1860.99684891558,923.115862824557,447.922486094085
0.0138276553106212,20451.8458412331,10228.954961527,4164.64285721004,2072.63444248879,1027.29925963545,502.227542064294
0.0144288577154309,22428.5615555638,11216.8099754064,4552.75000347556,2258.37190969617,1126.15689182012,528.138197100199
