t,Psis_a,Psis_b,Psir_a,Psir_b
0.266615094575926,1.19599428621904,0.739211517313255,1.08775382262848,0.694167262163914
0.266871817437349,1.15280069645851,0.810695160763391,1.05012872537231,0.748133202656444
0.267128540298772,1.10965157043428,0.881922078837302,1.00989467509983,0.800244407269202
0.267385263160195,1.06651360496029,0.952864184792717,0.967115795251923,0.850356713189619
0.268077144620177,0.950048863272285,1.14257478497949,0.841459697642529,0.975652130615568
0.268657584330917,0.851862254729997,1.29971023653897,0.724655727988517,1.06823117508558
0.268657584330923,0.851862254729112,1.29971023654038,0.72465572798742,1.06823117508636
0.268918824662714,0.765441762479182,1.29689797644665,0.667940258577995,1.10450227492397
0.269180064994506,0.679404384868538,1.29458031818838,0.60930935433609,1.13745180360389
0.269441305326297,0.593729072153778,1.29271496597807,0.548914748769437,1.16695920785703
0.269560537724191,0.554709314201063,1.29194952561568,0.52100295235802,1.1794236458879
0.269560537724194,0.554709314199901,1.29194952561566,0.521002952357184,1.17942364588826
0.269854161201531,0.506128809412937,1.37216262377679,0.450808979571962,1.20708200146947
0.270147784678867,0.457202277358312,1.45152355332704,0.379506698461893,1.23123257981698
0.270302996695883,0.431147858661593,1.49299280774195,0.341333114450813,1.24209279464964
0.270302996695886,0.431147858660996,1.4929928077429,0.34133311444994,1.24209279464989
0.270596620173223,0.334528460194474,1.48928617985164,0.268337766555168,1.25986984994665
0.270832518734164,0.257138907590909,1.4864970229761,0.209022740330714,1.27121135802257
0.271068417295106,0.179973083075262,1.48385681402281,0.149182384489175,1.2796378926747
0.271304315856047,0.103022731691217,1.48132678734219,0.0889551877091262,1.28515972455364
0.271542094323985,0.0256320816147057,1.47884381453527,0.0280142431963682,1.2883468736066
0.271603046957395,0.00582182062058066,1.47821650368872,0.0123608938268515,1.28877212418683
0.27165215554188,-0.00534529757907573,1.46942616755127,-0.00025188372562143,1.28897506655887
0.271701264126364,-0.01412289888519,1.45651381927284,-0.0128593823929703,1.28903716379097
0.271750372710848,-0.0221922575154576,1.4423914102288,-0.0254576387074276,1.28895239787946
0.271799481295333,-0.030153837076086,1.4280986389007,-0.0380441911203782,1.28871924273286
0.271878767002982,-0.043136395818632,1.40533812705647,-0.0582564191351495,1.28743564332958
0.271878767002985,-0.0431363958192138,1.40533812705545,-0.0582564191360552,1.28743564332953
0.272077262821838,-0.107737065378517,1.40404550413736,-0.108914761579572,1.28356620014942
0.27227575864069,-0.172191306706479,1.40270884703668,-0.15942690902044,1.27778455799565
0.272474254459543,-0.236495413628427,1.40130795800067,-0.209720726444318,1.2700697957373
0.273143892760417,-0.452380506980233,1.39586327000061,-0.376855338790756,1.23137963334976
0.273813531061292,-0.666467691820219,1.38887419752007,-0.538451113918527,1.17255175007456
0.273917892859184,-0.699651905114275,1.38758899234246,-0.562916547470133,1.16165132118425
0.273917892859187,-0.699651905115403,1.38758899234241,-0.562916547470962,1.16165132118387
0.274174043633494,-0.73963009150129,1.31281587212592,-0.621551121927723,1.13132035229011
0.274430194407801,-0.77983687545756,1.23860108733686,-0.678345263574227,1.09779476264056
0.274686345182108,-0.820247830063895,1.16490765097304,-0.733128200376101,1.06113817503924
0.274820761389592,-0.841495600946168,1.12637522770534,-0.761082011396705,1.04095534723067
0.274820761389595,-0.841495600946731,1.12637522770432,-0.761082011397437,1.04095534723012
