t,f_05,f_1,f_2,f_5,f_10,f_20,f_50
0,0,0,0,0,0,0,0
0.000400801603206413,0,0,0,0,0,0,0
0.000801603206412826,0,0,0,0,0,0,0
0.00120240480961924,0,0,0,0,0,0,0
0.00160320641282565,0,0,0,0,0,0,0
0.00200400801603206,0,0,0,0,0,0,0
0.00240480961923848,0,0,0,0,0,0,0
0.00280561122244489,0,0,0,0,0,0,0
0.0032064128256513,0,0,0,0,0,0,0
0.00360721442885772,0,0,0,0,0,0,0
0.00400801603206413,0,0,0,0,0,0,0
0.00440881763527054,0,0,0,0,0,0,0
0.00480961923847695,0,0,0,0,0,0,0
0.00521042084168337,0,0,0,0,0,0,0
0.00561122244488978,0,0,0,0,0,0,0
0.00601202404809619,0,0,0,0,0,0,0
0.00641282565130261,0,0,0,0,0,0,0
0.00681362725450902,0,0,0,0,0,0,0
0.00721442885771543,0,0,0,0,0,0,0
0.00761523046092184,0,0,0,0,0,0,0
0.00801603206412826,0,0,0,0,0,0,0
0.00841683366733467,46.4302866546421,47.2108129866035,44.691029847683,49.2450750385159,53.6563228293879,56.6739674686444,48.2938893134642
0.00881763527054108,1566.63157328116,822.610252262507,444.997287417139,227.20370668959,147.757433742073,99.1341181895526,79.2211298186638
0.0092184368737475,3569.2808907746,1831.89090200946,955.512981735427,438.926294480239,245.394874572154,126.35977483607,95.4157436046605
0.00961923847695391,5752.27579055125,2901.56014776017,1470.54697709247,642.399252956707,354.16167010909,193.607132179421,99.7058823529412
0.0100200400801603,8000.26369238663,3992.99225620319,1987.20927930903,842.899207225293,466.939266266798,275.27752358245,99.7058823529412
0.0104208416833667,10299.8223462965,5155.87324997797,2553.16174029245,1049.6365215611,569.766448683177,325.30819556428,99.7058823529412
0.0108216432865731,12619.4265758672,6346.52645918857,3138.27330924213,1258.79830069763,668.725900584005,363.040493680451,99.7058823529412
0.0112224448897796,15058.3818456876,7561.74620899763,3790.75952406491,1546.45637566432,771.074856234372,420.390995885648,134.675598648472
0.011623246492986,17559.8757061018,8731.93773813606,4384.17981432194,1753.84706385962,898.254631212249,496.895424836601,199.411764705882
0.0120240480961924,20049.4908273463,9984.32309710795,5015.11289460388,2044.95023888772,1066.00999017319,508.301384816387,238.781115737937
0.0124248496993988,22613.053740417,11266.0956286886,5644.42564685437,2319.59544582004,1115.20445236507,600.177195673742,299.117647058823
0.0128256513026052,25205.9610210173,12624.8187324663,6326.86071519806,2537.05197104405,1267.62306261604,680.616600607454,299.117647058823
0.0132264529058116,27808.668567757,13883.1890255265,6983.08405546623,2776.04307403581,1420.041672867,717.017169476793,299.117647058823
0.013627254509018,30451.5337771545,15251.2392581863,7620.31033068013,3065.92589853262,1523.70809815369,776.424672844713,299.117647058824
0.0140280561122244,33142.4293199263,16551.8931800295,8305.06303813445,3352.11309086672,1694.9203187251,891.106082575027,300.37741419722
0.0144288577154309,35898.0421937239,17956.1031839591,8922.96271499394,3614.99903979163,1788.72021762336,906.841749090816,337.467050137664
0.0148296593186373,38698.1654420478,19323.2841164716,9691.55009507997,3895.75163398695,1894.32270916335,977.719563716064,391.212733656536
0.0152304609218437,41498.5385632194,20735.605563183,10346.3140038521,4098.47754661244,2087.57007359577,1085.89832399486,450.050163788275
0.0156312625250501,44448.3138541061,22220.9657790993,11107.0086419404,4476.96431598667,2222.28478275174,1093.16993464052,498.529411764706
